state,county,cofips,race,sex,renters,variance
AL,ELMORE,01051,other,female,202.38014527845,1693.80726322957
AL,ELMORE,01051,other,male,121.549636803874,640.496248850524
AL,ELMORE,01051,white,female,4722.80112608084,43021.8398305549
AL,ELMORE,01051,white,male,3687.74230846572,26636.6495326605
AL,ESCAMBIA,01053,asian,female,6.81818181818182,3916.13418469743
AL,ESCAMBIA,01053,asian,male,9,6822.68674887135
AL,ESCAMBIA,01053,black,female,1692.93743705942,30097.9170416101
AL,ESCAMBIA,01053,black,male,1449.0806898288,22099.6925122975
AL,ESCAMBIA,01053,hisp,female,90.400826446281,958.612624899564
AL,ESCAMBIA,01053,hisp,male,128.834710743802,1917.34136246012
AL,ESCAMBIA,01053,other,female,240.821333333333,382.550421859669
AL,ESCAMBIA,01053,other,male,168.346666666667,215.854411350299
AL,ESCAMBIA,01053,white,female,1718.50502512563,17641.4259085296
AL,ESCAMBIA,01053,white,male,1413.82537688442,12010.5960492704
AL,ETOWAH,01055,asian,female,124,123.260378084564
AL,ETOWAH,01055,asian,male,84,83.660589734956
AL,ETOWAH,01055,black,female,3171,2687.31915917072
AL,ETOWAH,01055,black,male,2253,2008.83197845014
AL,ETOWAH,01055,hisp,female,479,467.963346000289
AL,ETOWAH,01055,hisp,male,692,668.965510606571
AL,ETOWAH,01055,other,female,87,86.6359132233393
AL,ETOWAH,01055,other,male,199,197.09509836933
AL,ETOWAH,01055,white,female,7369,4756.93780364616
AL,ETOWAH,01055,white,male,6331,4402.98225022849
AL,FAYETTE,01057,asian,female,0,0
AL,FAYETTE,01057,asian,male,0,2542.67146252481
AL,FAYETTE,01057,black,female,381.714381270903,5068.47688007865
AL,FAYETTE,01057,black,male,270.088294314381,2558.08585938545
AL,FAYETTE,01057,hisp,female,12.2550724637681,262.541264178754
AL,FAYETTE,01057,hisp,male,14.3246376811594,358.603256051682
AL,FAYETTE,01057,other,female,16.0051546391753,307.486656583278
AL,FAYETTE,01057,other,male,39.5257731958763,1867.20088093864
AL,FAYETTE,01057,white,female,1032.669,8559.91086344148
AL,FAYETTE,01057,white,male,820.9746,5428.59291943554
AL,FRANKLIN,01059,asian,female,24.0659340659341,4941.8213216243
AL,FRANKLIN,01059,asian,male,17.1428571428571,2508.08271078251
AL,FRANKLIN,01059,black,female,230.962343096234,3484.09990176754
AL,FRANKLIN,01059,black,male,163.882845188285,1757.37079480544
AL,FRANKLIN,01059,hisp,female,1007.64221824687,21015.6355577805
AL,FRANKLIN,01059,hisp,male,1049.08765652952,22752.0383972581
AL,FRANKLIN,01059,other,female,197.037900874636,2938.9644252802
AL,FRANKLIN,01059,other,male,96.2798833819242,720.096347911713
AL,FRANKLIN,01059,white,female,2446.50769959725,34705.9901427003
AL,FRANKLIN,01059,white,male,1892.91613361763,20842.0797119306
AL,GENEVA,01061,asian,female,0,447.110118776265
AL,GENEVA,01061,asian,male,0,146.435216357809
AL,GENEVA,01061,black,female,396.510638297872,4366.82542225185
AL,GENEVA,01061,black,male,290.382978723404,2345.36968406934
AL,GENEVA,01061,hisp,female,190.104938271605,3338.41216913615
AL,GENEVA,01061,hisp,male,230.567901234568,4903.81672446674
AL,GENEVA,01061,other,female,69.210295728368,586.706005375779
AL,GENEVA,01061,other,male,90.1478641840088,990.095463249744
AL,GENEVA,01061,white,female,1914.28801230941,22283.3528707422
AL,GENEVA,01061,white,male,1729.32410127291,18207.9704164392
AL,GREENE,01063,asian,female,0,948.244897959184
AL,GREENE,01063,asian,male,0,0
AL,GREENE,01063,black,female,789.057728119181,7564.67389661532
AL,GREENE,01063,black,male,550.245810055866,3690.10473908445
AL,GREENE,01063,hisp,female,5.45454545454546,186.868442263965
AL,GREENE,01063,hisp,male,4.72727272727273,140.37533480777
AL,GREENE,01063,other,female,0,35.0133921669552
AL,GREENE,01063,other,male,0,379.606824653634
AL,GREENE,01063,white,female,111.760406091371,1300.9338601691
AL,GREENE,01063,white,male,86.2883248730964,776.021883629215
AL,HALE,01065,asian,female,0,1896.48979591837
AL,HALE,01065,asian,male,0,0
AL,HALE,01065,black,female,1075.01845268326,8248.04263885254
AL,HALE,01065,black,male,749.659217877095,4032.24447843886
AL,HALE,01065,hisp,female,15,548.47275190112
AL,HALE,01065,hisp,male,13,412.087787618429
AL,HALE,01065,other,female,0,70.0267843339104
AL,HALE,01065,other,male,0,759.213649307268
AL,HALE,01065,white,female,396.534517766498,4047.91566570446
AL,HALE,01065,white,male,306.157614213198,2419.54769122862
AL,HENRY,01067,asian,female,0,386.507843640928
AL,HENRY,01067,asian,male,0,126.587069562323
AL,HENRY,01067,black,female,619.419468636314,6205.32538497052
AL,HENRY,01067,black,male,453.629368316613,3336.17743533128
AL,HENRY,01067,hisp,female,32.0285493827161,501.708062568241
AL,HENRY,01067,hisp,male,38.8456790123457,737.811768929384
AL,HENRY,01067,other,female,3.12814895947426,147.076573449253
AL,HENRY,01067,other,male,4.07447973713034,249.513574617873
AL,HENRY,01067,white,female,714.169114561477,8070.48201468222
AL,HENRY,01067,white,male,645.164078892153,6589.40756067881
AL,HOUSTON,01069,asian,female,87.2863849765258,536.169062766787
AL,HOUSTON,01069,asian,male,49.9530516431925,186.837766857321
AL,HOUSTON,01069,black,female,6042.16470069452,50260.7014412055
AL,HOUSTON,01069,black,male,4424.95513173851,27724.3396641444
AL,HOUSTON,01069,hisp,female,534.153549382716,951.681937864928
AL,HOUSTON,01069,hisp,male,647.845679012346,1344.91096814801
AL,HOUSTON,01069,other,female,134.510405257393,158.680135474803
AL,HOUSTON,01069,other,male,175.202628696605,249.240260979059
AL,HOUSTON,01069,white,female,7199.72968247307,4605.4562370877
AL,HOUSTON,01069,white,male,6504.07147852847,4080.16117876544
AL,JACKSON,01071,asian,female,25.5748031496063,1162.82643346118
AL,JACKSON,01071,asian,male,0,0
AL,JACKSON,01071,black,female,386.496453900709,5458.77376553213
AL,JACKSON,01071,black,male,314.028368794326,3640.11322531169
AL,JACKSON,01071,hisp,female,183.96451914099,5108.05729063666
AL,JACKSON,01071,hisp,male,262.153127917834,10356.4033372295
AL,JACKSON,01071,other,female,145.483180428135,1170.38351363551
AL,JACKSON,01071,other,male,70.1498470948012,284.669799861769
AL,JACKSON,01071,white,female,5106.49851915544,45246.5410710701
AL,JACKSON,01071,white,male,4313.47855163848,32591.5761105766
AL,JEFFERSON,01073,asian,female,1572,1548.79030406723
AL,JEFFERSON,01073,asian,male,1738,1700.95936285938
AL,JEFFERSON,01073,black,female,52879,33497.3959356014
AL,JEFFERSON,01073,black,male,36906,27104.175512061
AL,JEFFERSON,01073,hisp,female,3469,3377.54711685205
AL,JEFFERSON,01073,hisp,male,5587,5347.22136417728
AL,JEFFERSON,01073,other,female,1412,1395.96062876749
AL,JEFFERSON,01073,other,male,938,931.483181047657
AL,JEFFERSON,01073,white,female,29238,22662.6560588815
AL,JEFFERSON,01073,white,male,27533,21771.7403119101
AL,LAMAR,01075,asian,female,0,0
AL,LAMAR,01075,asian,male,0,2092.9758484915
AL,LAMAR,01075,black,female,319.894314381271,2135.97073211219
AL,LAMAR,01075,black,male,226.346488294314,1083.80807348115
AL,LAMAR,01075,hisp,female,34.1391304347826,590.420923812898
AL,LAMAR,01075,hisp,male,39.904347826087,805.910745240324
AL,LAMAR,01075,other,female,0,194.00414714248
AL,LAMAR,01075,other,male,0,1183.1832508071
AL,LAMAR,01075,white,female,1174.6845,12843.6150243921
AL,LAMAR,01075,white,male,933.8773,8141.45122038021
AL,LAUDERDALE,01077,asian,female,163.648351648352,909.475964959283
AL,LAUDERDALE,01077,asian,male,116.571428571429,486.53782401857
AL,LAUDERDALE,01077,black,female,1725,19293.1242194937
AL,LAUDERDALE,01077,black,male,1224,9891.50224596993
AL,LAUDERDALE,01077,hisp,female,302.014311270125,7834.753640451
AL,LAUDERDALE,01077,hisp,male,314.436493738819,8490.00210539579
AL,LAUDERDALE,01077,other,female,207.813411078717,3706.74266818726
