,state,county,cofips,race,sex,renters,variance
138,AL,CLAY,1027,white,male,758.123770965876,7531.14512356729
139,AL,CLEBURNE,1029,asian,female,0.0,134.984649711179
140,AL,CLEBURNE,1029,asian,male,0.0,1534.9119849527
141,AL,CLEBURNE,1029,black,female,43.3119550474714,436.153166262264
142,AL,CLEBURNE,1029,black,male,36.3749273396629,307.686889399846
143,AL,CLEBURNE,1029,hisp,female,24.6732673267327,630.146914344052
144,AL,CLEBURNE,1029,hisp,male,31.5485148514852,1029.7713567595
145,AL,CLEBURNE,1029,other,female,21.4421768707483,973.029926630404
146,AL,CLEBURNE,1029,other,male,9.95918367346939,210.201612646838
147,AL,CLEBURNE,1029,white,female,1210.48467322152,8347.55512459694
148,AL,CLEBURNE,1029,white,male,1099.11393869289,6895.12686601978
149,AL,COFFEE,1031,asian,female,72.5112107623319,1211.67188570019
150,AL,COFFEE,1031,asian,male,105.910313901345,2563.50628930281
151,AL,COFFEE,1031,black,female,1770.79782903664,13160.9963646033
152,AL,COFFEE,1031,black,male,1344.82858435097,7720.384359314
153,AL,COFFEE,1031,hisp,female,412.8046875,1251.69074518418
154,AL,COFFEE,1031,hisp,male,668.503125,2950.66218352814
155,AL,COFFEE,1031,other,female,117.434911242604,1420.64020603602
156,AL,COFFEE,1031,other,male,37.207100591716,152.458784409302
157,AL,COFFEE,1031,white,female,3780.91071428571,24095.4307598586
158,AL,COFFEE,1031,white,male,3457.04147465438,20279.5166347513
159,AL,COLBERT,1033,asian,female,31.2857142857143,7982.28451647931
160,AL,COLBERT,1033,asian,male,22.2857142857143,4051.22497729191
161,AL,COLBERT,1033,black,female,1494.03765690377,9877.94725068479
162,AL,COLBERT,1033,black,male,1060.11715481172,5106.71175474784
163,AL,COLBERT,1033,hisp,female,237.992844364937,10125.5021208672
164,AL,COLBERT,1033,hisp,male,247.78175313059,10974.0194965564
165,AL,COLBERT,1033,other,female,123.148688046647,2683.00919566435
166,AL,COLBERT,1033,other,male,60.1749271137026,647.786993509628
167,AL,COLBERT,1033,white,female,4028.8732527837,45425.3469646932
168,AL,COLBERT,1033,white,male,3117.22672352523,27371.3053869982
169,AL,CONECUH,1035,asian,female,0.0,2309.66084940087
170,AL,CONECUH,1035,asian,male,0.0,4024.35306399608
171,AL,CONECUH,1035,black,female,615.781722054381,5789.72497634363
172,AL,CONECUH,1035,black,male,527.082326283988,4248.27322477924
173,AL,CONECUH,1035,hisp,female,22.7727272727273,212.126551010659
174,AL,CONECUH,1035,hisp,male,32.4545454545455,428.95843454651
175,AL,CONECUH,1035,other,female,92.2773333333333,2147.55278757704
176,AL,CONECUH,1035,other,male,64.5066666666667,1053.69796973919
177,AL,CONECUH,1035,white,female,301.221105527638,2396.63513797894
178,AL,CONECUH,1035,white,male,247.816582914573,1624.3058074817
179,AL,COOSA,1037,asian,female,0.0,510.254525359675
180,AL,COOSA,1037,asian,male,0.0,315.818910195441
181,AL,COOSA,1037,black,female,364.349068322981,6575.13946483384
182,AL,COOSA,1037,black,male,267.290683229814,3543.15835868414
183,AL,COOSA,1037,hisp,female,13.5267605633803,276.460585173087
184,AL,COOSA,1037,hisp,male,17.3323943661972,453.806521766107
185,AL,COOSA,1037,other,female,4.25650557620818,81.1316883261014
186,AL,COOSA,1037,other,male,4.83271375464684,104.572079979025
187,AL,COOSA,1037,white,female,450.260303687636,5509.70850654342
188,AL,COOSA,1037,white,male,390.455531453362,4146.65663123835
189,AL,COVINGTON,1039,asian,female,5.17937219730942,691.265349459869
190,AL,COVINGTON,1039,asian,male,7.56502242152466,1474.61542423881
191,AL,COVINGTON,1039,black,female,846.425373134328,8468.07622290305
192,AL,COVINGTON,1039,black,male,642.81592039801,4913.67460898709
193,AL,COVINGTON,1039,hisp,female,47.4765625,493.521069802477
194,AL,COVINGTON,1039,hisp,male,76.884375,1289.87510817675
195,AL,COVINGTON,1039,other,female,98.6094674556213,1611.29189217302
196,AL,COVINGTON,1039,other,male,31.2426035502959,168.691469173579
197,AL,COVINGTON,1039,white,female,2727.21428571429,17365.2556741773
198,AL,COVINGTON,1039,white,male,2493.60368663595,14588.069628977
199,AL,CRENSHAW,1041,asian,female,34.0358744394619,363.657771251704
200,AL,CRENSHAW,1041,asian,male,49.7130044843049,771.093225641648
201,AL,CRENSHAW,1041,black,female,572.611261872456,3890.08266074748
202,AL,CRENSHAW,1041,black,male,434.868385345997,2257.20315121562
203,AL,CRENSHAW,1041,hisp,female,30.578125,318.030651032768
204,AL,CRENSHAW,1041,hisp,male,49.51875,832.218307970687
205,AL,CRENSHAW,1041,other,female,44.8224852071006,744.609861009963
206,AL,CRENSHAW,1041,other,male,14.2011834319527,76.1808392670472
207,AL,CRENSHAW,1041,white,female,907.8,5562.22737160841
208,AL,CRENSHAW,1041,white,male,830.038709677419,4657.92788670911
209,AL,CULLMAN,1043,asian,female,46.0,2224.91863115635
210,AL,CULLMAN,1043,asian,male,49.0,2521.3930214586
211,AL,CULLMAN,1043,black,female,84.0,3183.31162792121
212,AL,CULLMAN,1043,black,male,95.0,4059.18472817304
213,AL,CULLMAN,1043,hisp,female,296.067833698031,1647.82978201009
214,AL,CULLMAN,1043,hisp,male,342.938730853392,2168.45758377255
215,AL,CULLMAN,1043,other,female,141.341389728097,867.995234364555
216,AL,CULLMAN,1043,other,male,122.441087613293,664.832343436938
217,AL,CULLMAN,1043,white,female,6278.98680351906,25195.8776427863
218,AL,CULLMAN,1043,white,male,5075.8504398827,17205.3823878433
219,AL,DALE,1045,asian,female,78.7136150234742,841.658293049331
220,AL,DALE,1045,asian,male,45.0469483568075,284.791641511357
221,AL,DALE,1045,black,female,2259.90519237129,21052.4353049262
222,AL,DALE,1045,black,male,1655.03252122148,11398.5020022217
223,AL,DALE,1045,hisp,female,582.712962962963,10495.4575980399
224,AL,DALE,1045,hisp,male,706.740740740741,15373.2915647869
225,AL,DALE,1045,other,female,150.151150054765,864.675856789555
226,AL,DALE,1045,other,male,195.575027382256,1442.09078991369
227,AL,DALE,1045,white,female,4236.81319065604,33035.997446375
228,AL,DALE,1045,white,male,3827.44034130648,27071.7585316366
229,AL,DALLAS,1047,asian,female,47.0,21511.736162501
230,AL,DALLAS,1047,asian,male,0.0,0.0
231,AL,DALLAS,1047,black,female,5376.06162180464,26095.0323166243
232,AL,DALLAS,1047,black,male,3748.97206703911,13222.4211047695
233,AL,DALLAS,1047,hisp,female,98.1818181818182,1871.89636171638
234,AL,DALLAS,1047,hisp,male,85.0909090909091,1411.30652449255
235,AL,DALLAS,1047,other,female,31.8561151079137,791.274105434255
236,AL,DALLAS,1047,other,male,104.892086330935,8391.95351587683
237,AL,DALLAS,1047,white,female,1067.09695431472,13363.8449602754
238,AL,DALLAS,1047,white,male,823.887563451777,8013.67902962212
239,AL,DEKALB,1049,asian,female,90.4251968503937,736.63193129506
240,AL,DEKALB,1049,asian,male,0.0,0.0
241,AL,DEKALB,1049,black,female,237.503546099291,3112.1316843469
242,AL,DEKALB,1049,black,male,192.971631205674,2068.26465060638
243,AL,DEKALB,1049,hisp,female,1063.03548085901,4403.09362860936
244,AL,DEKALB,1049,hisp,male,1514.84687208217,8392.42626572351
245,AL,DEKALB,1049,other,female,275.516819571865,2047.59080224948
246,AL,DEKALB,1049,other,male,132.850152905199,521.089949957738
247,AL,DEKALB,1049,white,female,6033.50148084456,39306.5840768539
248,AL,DEKALB,1049,white,male,5096.52144836152,28474.875117138
249,AL,ELMORE,1051,asian,female,21.7213114754098,313.286032182642
250,AL,ELMORE,1051,asian,male,55.3169398907104,2007.04127790791
251,AL,ELMORE,1051,black,female,2152.29381357345,28246.8493204384
252,AL,ELMORE,1051,black,male,1507.45172586293,14022.6428379005
253,AL,ELMORE,1051,hisp,female,229.157699443414,3901.33632054212
254,AL,ELMORE,1051,hisp,male,344.78293135436,8740.51366224411
255,AL,ELMORE,1051,other,female,202.38014527845,1693.80726322957
256,AL,ELMORE,1051,other,male,121.549636803874,640.496248850524
257,AL,ELMORE,1051,white,female,4722.80112608084,43021.8398305549
258,AL,ELMORE,1051,white,male,3687.74230846572,26636.6495326605
259,AL,ESCAMBIA,1053,asian,female,6.81818181818182,3916.13418469743
260,AL,ESCAMBIA,1053,asian,male,9.0,6822.68674887135
261,AL,ESCAMBIA,1053,black,female,1692.93743705942,30097.9170416101
262,AL,ESCAMBIA,1053,black,male,1449.0806898288,22099.6925122975
263,AL,ESCAMBIA,1053,hisp,female,90.400826446281,958.612624899564
264,AL,ESCAMBIA,1053,hisp,male,128.834710743802,1917.34136246012
265,AL,ESCAMBIA,1053,other,female,240.821333333333,382.550421859669
266,AL,ESCAMBIA,1053,other,male,168.346666666667,215.854411350299
267,AL,ESCAMBIA,1053,white,female,1718.50502512563,17641.4259085296
268,AL,ESCAMBIA,1053,white,male,1413.82537688442,12010.5960492704
269,AL,ETOWAH,1055,asian,female,124.0,123.260378084564
270,AL,ETOWAH,1055,asian,male,84.0,83.660589734956
271,AL,ETOWAH,1055,black,female,3171.0,2687.31915917072
272,AL,ETOWAH,1055,black,male,2253.0,2008.83197845014
273,AL,ETOWAH,1055,hisp,female,479.0,467.963346000289
